news_id,title
1,宁南：桑树春耕正当时 产业发展新希望
2,宁南县：从“一片桑叶”看多产业融合发展
3,专家赴宁南县开展蚕桑春季管理技术培训
4,河池学院与泰国玛哈沙拉坎大学开展蚕桑丝绸领域合作交流
5,2025年棉花春季生产技术指导意见
6,创新赋能纤维 盛泽激活传统纺织业新质生产力
7,中国棉花协会赴山东调研棉花市场形势
8,安康汉滨：共话蚕桑产业发展新丝路
9,广西河池：“一缕丝”牵动千亿产业集群
10,广西蒙山县建成桑蚕设施1.7万平方米
11,石泉蚕桑LOGO设计举行专家评审会
12,贵港港南区推动人工智能与羽绒企业深度融合
13,从纤维新秀到中坚力量，用好“莱赛尔”，这一趋势报告很关键！
14,四川绵阳：一根蚕丝，如何夯实亿元产业
15,广西柳城县开展2025年春季养蚕技术下乡服务活动
16,四川宁南县：从蚕桑强县到多元产业文旅融合新典范
17,海纤生物海藻纤维：引领深海黑科技风潮
18,全国畜牧总站在湘调研人工饲料工厂化养蚕
19,年产值3700余万！贵州凤冈小蚕茧实现大蜕变
20,纤维革新 绿动未来——化纤行业新质生产力发展高端论坛在昆山举行
21,四川省蚕品种审定委员会七届五次会议在成都召开
22,陕西省安康市蚕桑工作会议召开
23,广西凤山桑蚕养殖惠及2.1万农村人口
24,四川富顺县举办小蚕共育技术培训会助推蚕桑产业提质增效
25,南部县召开2025年果桑春季管护技术培训会
26,阿拉尔市200万亩新棉开播
27,郑商所：调整短纤、瓶片期货合约交易手续费标准
28,科技下的中式美学——桐昆·中国纤维流行趋势2025/2026正式发布
29,全国发布！3月11日起，选购石墨烯产品认准这个“中国结”标识
30,蚕桑专家到广东农科院加工所调研交流并进行国家蚕桑产业体系岗站对接
36,刘勇当选中国棉花协会理事会轮值主席
37,中国棉花协会召开五届二次理事会暨全国棉花形势分析会
38,兵团五师九十一团：“棉花+孜然” 一地生多金
41,中国棉花协会赴鲁泰集团调研
42,中国棉花协会五届二次理事会与会代表参观魏桥创业集团
43,广西“三强化”助力茧丝绸产业高质量发展
44,院地科技共建项目协同丹东试验站助力凤城市柞蚕产业发展
45,省市专家联动助力湖州蚕桑产业高质量发展
51,纤维新视界•纺织材料创新论坛 | 桐昆·中国纤维流行趋势2025/2026入选纤维专场
53,美国国际棉花协会拜访中国棉花协会
54,王建红：积极应对外部压力 提升我国棉花产业国际竞争力
55,内蒙古出台方案推进羊绒产业全链条升级
56,杨远萍一行到仪陇县调研川中北蚕桑产业集群项目建设
57,广西东兰县：石漠化地区蚕桑产业的破茧之路
58,江苏省蚕丝学会首届丝路智库专家座谈会在苏州召开
59,陕西平利县春季桑园管护工作全面展开
60,浙江德清：桑蚕“老字号”逆势突围 “蚕种生意”四季忙不停
61,《安徽蚕业》顺利获得2025年度《内部资料性出版物准印证》
62,兵团推介发布5个棉花主导品种和2项主推技术
63,重庆市蚕业总站赴四川省南充市学习考察蚕桑产业发展工作
64,渝黔院企合作共绘蚕业发展新画卷
65,浙江羽绒家纺企业共探创新与可持续发展之路
66,新疆轮台：棉花套种孜然开启增收新模式
67,海藻炭泥：“深海黑科技”从科技突破到生活场景的跨界应用
68,平顶山市鲁山县春季柞蚕制种拉开帷幕
69,广东农科院加工所国家蚕桑体系专家受邀赴浙江调研交流
70,河池市蚕种场助力东兰蚕桑产业升级
71,安徽省蚕学会召开常务理事会暨监事会会议
72,四川岳池县“三抓”推动蚕桑产业高质量发展
73,宜州举办桑蚕种养技术培训，助力产业发展
74,汉中市农培中心蚕桑站专家来略指导蚕桑产业发展
75,四川省纤维检验局生丝公检实验室通过验收
76,河池市市长王军到宜州调研蚕茧收购相关工作
77,2024年广西环江桑蚕产业综合产值突破27亿元
78,水星家纺和国欣家纺携手推进中国棉花可持续发展项目—引领家纺行业绿色变革
79,与纺机龙头携手共建，阿拉尔经开区打造锦纶产业集群
80,新疆阿克陶：科技赋能！9万亩棉田奏响播种“奋进曲”
81,东兰三弄瑶族乡：科技赋能产业 “白茧”摇变“真金”
82,蒙山县召开“茧丝绸+文旅”产业融合发展专题会议
83,四川省蚕桑创新团队专家赴宁南县开展调研指导
84,广西南丹“瑶蚕”资源成功通过国家畜禽遗传资源委员会专家现场核验
85,2024年湖北机采棉收获面积首超1万亩，在长江流域推广还要过几关？
86,2025长江棉花产业高质量发展暨风险管理交流会在武汉成功召开
87,辽宁省商务厅领导赴丹东调研茧丝绸产业
88,中国棉花协会参加“外贸优品中华行”活动并发布联合倡议
89,《中国棉花协会质量差价表》修订工作启动
90,东兰大同乡： 首批春茧迎丰收
91,福龙瑶族乡：春茧飘香致富“丝”路广
92,国家重点研发计划项目“西南地区蚕桑产业关键技术研究与应用示范”2025年课题工作推进会在南宁召开
93,科技赋能 无人机助力英吉沙棉花田间管理
94,昌吉州万余农机驰骋220万亩棉田战春播
95,广西2025年春茧批量上市
96,丹东蚕丝产品亮相消博会签下800万元订单
97,云南省姚安县三方联动激活蚕桑产业发展
98,从一根纤维的裂变，看四川纺织企业在“三品”战略中织出新动能
99,新疆发布今年粮棉果畜主导品种和主推技术
100,库车市棉花播种进度超八成 日播棉田10万亩
101,阿克苏地区棉花播种接近尾声
102,阜康市38万亩棉花春播按下“快进键”
103,辽宁鞍山：聚焦春蚕种繁育 农技“织就”增收锦缎
104,广西来宾首批春茧“抢鲜”上市
