news_id,title
1,BMI：将2025年ICE棉花期货价格预测下调至72.2美分
2,生意社：宁波台化PTA装置动态
3,生意社：3月19日逸盛石化PTA外盘价格动态
4,皮棉商品报价动态（2025-03-19）
5,生意社：截止3月18日PTA相关行业开工率汇总
6,CAI：3月18日印度棉花到货量预估为81200包
7,3月19日进口棉报价小幅下跌
8,2025年1-2月我国进口棉纱21万吨 同比减少12.5%
9,3月18日ICE期棉小幅下跌
10,2025年1-2月我国进口棉花27万吨 同比减少58.7%
11,涤纶短纤商品报价动态（2025-03-19）
12,聚酯切片商品报价动态（2025-03-19）
13,PTA商品报价动态（2025-03-19）
14,棉纱商品报价动态（2025-03-19）
15,丙烯腈商品报价动态（2025-03-19）
16,IBGE：预计2025年巴西棉花种植面积为209.1974万公顷
17,2025年3月迄今巴西棉花日均出口量同比增长30.8%
18,3月19日生意社丙烯腈基准价为8683.33元/吨
19,3月19日生意社粘胶短纤1.2D基准价为13600.00元/吨
20,3月19日生意社锦纶DTY基准价为16080.00元/吨
21,3月19日生意社锦纶POY基准价为13725.00元/吨
22,3月19日生意社锦纶FDY基准价为16725.00元/吨
23,3月19日生意社棉纱32S基准价为24125.00元/吨
24,3月19日生意社棉纱21S基准价为22633.33元/吨
25,3月19日生意社皮棉基准价为14922.50元/吨
26,3月19日生意社涤纶POY基准价为7250.00元/吨
27,3月19日生意社涤纶FDY基准价为7574.00元/吨
28,3月19日生意社涤纶DTY基准价为8456.25元/吨
29,3月19日生意社PTA基准价为4855.64元/吨
30,3月19日生意社氨纶基准价为25125.00元/吨
34,3月20日生意社丙烯腈基准价为8683.33元/吨
35,3月20日生意社粘胶短纤1.2D基准价为13600.00元/吨
36,3月20日生意社锦纶DTY基准价为16080.00元/吨
37,3月20日生意社锦纶POY基准价为13725.00元/吨
38,3月20日生意社锦纶FDY基准价为16725.00元/吨
39,3月20日生意社棉纱32S基准价为24125.00元/吨
40,3月20日生意社棉纱21S基准价为22633.33元/吨
41,3月20日生意社皮棉基准价为14896.67元/吨
42,3月20日生意社涤纶POY基准价为7250.00元/吨
43,3月20日生意社涤纶FDY基准价为7574.00元/吨
44,3月20日生意社涤纶DTY基准价为8456.25元/吨
45,3月20日生意社PTA基准价为4846.36元/吨
46,3月20日生意社氨纶基准价为25125.00元/吨
47,3月20日生意社32S涤纶纱基准价为11925.00元/吨
48,3月20日生意社涤纶短纤基准价为6968.33元/吨
49,3月20日生意社人棉纱基准价为17550.00元/吨
51,3月19日ICE期棉小幅下跌
52,截至3月初全国棉花工业库存约86.4万吨 环比增加3.2%
53,国内20/22D生丝现货价格调整
54,3月20日广西地区干茧现货报价下调
55,上海赛科丙烯腈装置动态
